Name,Position Name,Duración Total,Total Distance (m),Mts/Min,Mts >16km/h,% MTS 16-19 KM/H,MTS 16-19 KM/H,% MTS 19-24 KM/H,MTS 19-24 KM/H,% MTS >24 KM/H,Mts > 24km/h,# Sp>24 Km/H  (G2),% MTS >19 KM/H,Mts >19 km/h,MTS >85% VEL IND,Velocidad Max. (km/h),Total Player Load,PL MIN,"ACEL>2,5","DIST Acel>2,5","DES>-2,5","DIST Dec>-2,5",ESF EXP,Total Acceleration Load
JUG 37,MEDIOCAMPISTA OFENSIVO,52,4971.5896,96.4399,431.28,4.30848,214.2,2.38012,118.33,1.98628,98.75,12,4.3664,217.08,18.9,29.39284,633.62981,12.29128,70,197.56,51,75.49,140,2091.64839
JUG 34,DELANTERO,52,4193.95842,81.35526,479.42,5.17363,216.98,3.85888,161.84,2.39869,100.6,9,6.25757,262.44,36.1,28.43496,459.20819,8.90781,70,212.15,60,67.86,130,1856.50588
JUG 33,DEFENSOR LAT,47,3154.58224,67.66416,478.61,7.52905,237.51,5.99953,189.26,1.64332,51.84,5,7.64285,241.1,0.0,27.27863,362.47626,7.77493,62,230.11,54,77.02,124,1561.7127
JUG 23,MEDIOCAMPISTA OFENSIVO,46,3276.35295,71.05438,541.7,8.13984,266.69,6.46023,211.66,1.93355,63.35,6,8.39378,275.01,0.0,27.34032,440.62982,9.55595,60,227.36,46,59.81,111,1444.88843
JUG 4,DEFENSOR LAT,47,2893.28918,62.10708,356.59,6.16081,178.25,4.17241,120.72,1.99151,57.62,7,6.16392,178.34,0.0,27.34706,356.22842,7.64677,56,170.41,39,60.8,109,1360.18931
JUG 20,MEDIOCAMPISTA OFENSIVO,47,3103.46414,66.61867,431.69,6.60842,205.09,5.57249,172.94,1.72903,53.66,6,7.30152,226.6,0.0,27.43146,409.49056,8.79009,54,162.61,45,64.64,144,1447.35489
JUG 12,DEFENSOR LAT,46,3149.83282,68.1428,356.67,4.87423,153.53,4.52976,142.68,1.91946,60.46,6,6.44922,203.14,12.39,28.11079,362.12529,7.83414,53,160.22,44,54.54,147,1422.53341
JUG 7,MEDIOCAMPISTA OFENSIVO,47,3270.38031,70.02056,424.12,6.55826,214.48,5.82226,190.41,0.588,19.23,2,6.41026,209.64,0.0,25.72903,459.89486,9.84659,53,187.41,45,60.17,98,1388.78688
JUG 42,DEFENSOR LAT,46,3601.80167,77.47587,466.8,6.42317,231.35,4.57798,164.89,1.95902,70.56,8,6.537,235.45,28.33,29.0656,399.6518,8.59663,53,166.44,53,74.74,131,1531.65446
JUG 11,DEFENSOR LAT,47,3116.27402,66.60603,473.61,8.6751,270.34,4.69054,146.17,1.83231,57.1,5,6.52285,203.27,0.0,26.70284,391.19383,8.36122,53,187.5,48,60.77,139,1429.92647
